Supermarket 1,Supermarket 2
9077,9077
8855,3745
4255,4255
8855,8855
3745,8855
7118,3745
8855,3745
8855,4255
9077,8855
9077,4255
9077,8855
9077,8855
7118,3745
8855,8855
7118,3745
9077,9077
9077,8855
7118,8855
9077,8855
9077,4255
8855,7118
8855,8855
4255,7118
8855,8855
8855,3745
3745,7118
9077,9077
4255,9077
3745,9077
4255,9077
9077,8855
7118,7118
4255,4255
8855,8855
8855,3745
7118,4255
4255,4255
7118,7118
8855,3745
4255,4255
3745,4255
4255,9077
7118,4255
8855,8855
4255,3745
3745,8855
7118,7118
9077,8855
4255,8855
9077,8855
9077,3745
8855,4255
8855,8855
3745,4255
7118,3745
3745,8855
8855,7118
4255,7118
7118,9077
4255,4255
4255,3745
3745,7118
8855,4255
7118,7118
4255,7118
8855,4255
4255,4255
4255,9077
9077,7118
4255,7118
4255,4255
4255,8855
4255,8855
7118,8855
3745,4255
8855,3745
7118,7118
4255,8855
8855,3745
3745,9077
4255,3745
7118,7118
9077,8855
8855,8855
7118,7118
8855,8855
3745,7118
4255,8855
4255,3745
9077,8855
7118,3745
8855,9077
9077,8855
4255,9077
9077,9077
7118,4255
4255,9077
7118,4255
7118,7118
9077,9077
9077,8855
9077,9077
9077,9077
8855,4255
8855,8855
4255,3745
9077,7118
9077,7118
9077,9077
4255,4255
4255,8855
7118,7118
9077,7118
8855,8855
8855,4255
8855,7118
8855,4255
9077,3745
4255,8855
9077,3745
4255,9077
7118,7118
7118,8855
7118,4255
8855,4255
7118,4255
7118,4255
3745,3745
4255,3745
8855,4255
4255,8855
4255,3745
7118,8855
4255,4255
8855,9077
9077,8855
9077,8855
4255,8855
7118,7118
8855,4255
4255,8855
7118,9077
8855,7118
8855,9077
7118,4255
8855,7118
4255,4255
4255,4255
8855,9077
8855,9077
9077,7118
3745,8855
4255,9077
4255,7118
4255,9077
7118,7118
4255,9077
4255,4255
7118,7118
3745,7118
3745,8855
4255,8855
3745,8855
4255,9077
9077,7118
9077,8855
8855,8855
8855,8855
8855,8855
8855,8855
9077,4255
8855,8855
8855,9077
4255,9077
8855,4255
9077,9077
4255,4255
8855,7118
7118,8855
3745,8855
3745,8855
8855,9077
3745,4255
9077,4255
8855,4255
4255,4255
8855,9077
7118,8855
8855,8855
7118,8855
9077,4255
3745,8855
7118,7118
9077,3745
7118,3745
8855,7118
7118,8855
7118,7118
8855,4255
8855,3745
8855,7118
8855,7118
7118,4255
8855,9077
7118,8855
4255,4255
4255,9077
8855,3745
3745,8855
3745,8855
9077,8855
8855,8855
8855,4255
8855,8855
4255,8855
4255,7118
9077,8855
4255,8855
9077,7118
9077,4255
9077,4255
4255,7118
9077,8855
7118,9077
8855,3745
9077,4255
9077,8855
4255,3745
8855,3745
8855,4255
3745,8855
8855,4255
4255,7118
3745,4255
4255,4255
8855,8855
9077,4255
3745,9077
8855,7118
7118,8855
3745,4255
7118,4255
4255,9077
7118,3745
7118,4255
7118,3745
8855,8855
4255,9077
9077,4255
8855,3745
4255,7118
8855,4255
4255,9077
3745,3745
4255,4255
8855,8855
7118,3745
9077,8855
9077,3745
4255,8855
4255,7118
8855,7118
7118,7118
9077,4255
4255,9077
8855,4255
4255,4255
7118,9077
3745,8855
4255,4255
3745,3745
7118,4255
8855,3745
7118,8855
4255,3745
3745,8855
4255,9077
4255,9077
8855,9077
8855,8855
4255,4255
8855,8855
4255,4255
8855,9077
9077,8855
8855,3745
8855,4255
8855,4255
8855,8855
3745,9077
8855,7118
3745,7118
3745,7118
9077,8855
7118,4255
7118,4255
3745,7118
8855,3745
7118,9077
8855,9077
7118,7118
9077,8855
8855,7118
3745,3745
4255,8855
7118,7118
9077,7118
3745,8855
9077,4255
7118,7118
4255,8855
8855,7118
8855,8855
4255,4255
4255,8855
8855,8855
7118,7118
9077,4255
8855,7118
4255,8855
8855,9077
8855,9077
9077,7118
7118,7118
3745,4255
9077,8855
4255,8855
4255,9077
8855,3745
4255,8855
7118,7118
9077,9077
4255,8855
8855,4255
9077,7118
8855,8855
3745,7118
9077,7118
4255,4255
8855,4255
4255,7118
8855,8855
7118,7118
7118,8855
9077,8855
4255,8855
4255,7118
8855,7118
9077,8855
7118,3745
3745,8855
4255,7118
9077,3745
7118,4255
9077,7118
8855,7118
7118,9077
4255,3745
8855,7118
8855,4255
,8855
,8855
,8855
,3745
,7118
,8855
,3745
,7118
,8855
,3745
,7118
,4255
,7118
,8855
,4255
,8855
,7118
,9077
,4255
,8855
,7118
,3745
,8855
,8855
,7118
,8855
,7118
,8855
,8855
,8855
,7118
,4255
,4255
,8855
,3745
,4255
,3745
,9077
,8855
,9077
,4255
,4255
,9077
,4255
,7118
,7118
,8855
,4255
,8855
,8855
,4255
,3745
,8855
,7118
,3745
,3745
,9077
,7118
,4255
,7118
,9077
,4255
,7118
,7118
,7118
,9077
,4255
,4255
,8855
,9077
,4255
,3745
,9077
,7118
,8855
,7118
,3745
,4255
,8855
,4255
,4255
,8855
,7118
,3745
,8855
,9077
,7118
,4255
,3745
,4255
,8855
,7118
,4255
,3745
,7118
,8855
,8855
,4255
,3745
,9077
,4255
,3745
,8855
,8855
,8855
,3745
,3745
,8855
,8855
,7118
,8855
,8855
,9077
,4255
,8855
,7118
,4255
,8855
,8855
,8855
,7118
,8855
,3745
,3745
,7118
,7118
,3745
,8855
,3745
,8855
,3745
,8855
,9077
,8855
